gender,education_year,jobcategory,current_salary,beginning_salary,jobtime,previous_experience,minority
m,15,3,57,27,98,144,0
m,16,1,40.2,18.75,98,36,0
f,12,1,21.45,12,98,381,0
f,8,1,21.9,13.2,98,190,0
m,15,1,45,21,98,138,0
m,15,1,32.1,13.5,98,67,0
m,15,1,36,18.75,98,114,0
f,12,1,21.9,9.75,98,0,0
f,15,1,27.9,12.75,98,115,0
f,12,1,24,13.5,98,244,0
f,16,1,30.3,16.5,98,143,0
m,8,1,28.35,12,98,26,1
m,15,1,27.75,14.25,98,34,1
f,15,1,35.1,16.8,98,137,1
m,12,1,27.3,13.5,97,66,0
m,12,1,40.8,15,97,24,0
m,15,1,46,14.25,97,48,0
m,16,3,103.75,27.51,97,70,0
m,12,1,42.3,14.25,97,103,0
f,12,1,26.25,11.55,97,48,0
f,16,1,38.85,15,97,17,0
m,12,1,21.75,12.75,97,315,1
f,15,1,24,11.1,97,75,1
f,12,1,16.95,9,97,124,1
f,15,1,21.15,9,97,171,1
m,15,1,31.05,12.6,96,14,0
m,19,3,60.375,27.48,96,96,0
m,15,1,32.55,14.25,96,43,0
m,19,3,135,79.98,96,199,0
m,15,1,31.2,14.25,96,54,0
m,12,1,36.15,14.25,96,83,0
m,19,3,110.625,45,96,120,0
m,15,1,42,15,96,68,0
m,19,3,92,39.99,96,175,0
m,17,3,81.25,30,96,18,0
f,8,1,31.35,11.25,96,52,0
m,12,1,29.1,13.5,96,113,1
m,15,1,31.35,15,96,49,1
m,16,1,36,15,96,46,1
f,15,1,19.2,9,96,23,1
f,12,1,23.55,11.55,96,52,1
m,15,1,35.1,16.5,95,90,0
m,12,1,23.25,14.25,95,46,0
m,8,1,29.25,14.25,95,50,0
m,12,2,30.75,13.5,95,307,0
f,15,1,22.35,12.75,95,165,0
f,12,1,30,16.5,95,228,0
m,12,2,30.75,14.1,94,240,0
m,15,1,34.8,16.5,94,93,0
m,16,3,60,23.73,94,59,0
m,12,1,35.55,15,94,48,0
m,15,1,45.15,15,94,40,0
m,18,3,73.75,26.25,94,56,0
m,12,1,25.05,13.5,94,444,0
m,12,1,27,15,94,120,0
m,15,1,26.85,13.5,94,5,0
m,15,1,33.9,15.75,94,78,0
f,15,1,26.4,13.5,94,3,0
m,15,1,28.05,14.25,94,36,1
m,12,1,30.9,15,94,102,1
m,8,1,22.5,9.75,94,36,1
m,16,3,48,21.75,93,22,0
m,17,3,55,26.25,93,32,0
m,16,3,53.125,21,93,48,0
m,8,1,21.9,14.55,93,41,0
m,19,3,78.125,30,93,7,0
m,16,3,46,21.24,93,35,0
m,16,3,45.25,21.48,93,36,0
m,16,3,56.55,25,93,34,0
m,15,1,41.1,20.25,93,27,0
m,17,3,82.5,34.98,93,207,0
f,16,1,54,18,93,11,0
f,12,1,26.4,10.5,93,0,0
f,15,1,33.9,19.5,93,192,0
f,15,1,24.15,11.55,93,0,0
f,15,1,29.25,11.55,93,11,0
f,12,1,27.6,11.4,93,6,0
f,12,1,22.95,10.5,93,10,0
f,16,1,34.8,14.55,93,8,0
f,16,1,51,18,93,22,0
f,12,1,24.3,10.95,93,5,0
f,12,1,24.75,14.25,93,193,1
f,12,1,22.95,11.25,93,0,1
f,8,1,25.05,10.95,93,8,1
m,15,1,25.95,17.1,92,42,0
m,15,1,31.65,15.75,92,64,0
m,12,1,24.15,14.1,92,130,0
m,19,3,72.5,28.74,92,10,0
m,19,3,68.75,27.48,92,8,0
f,8,1,16.2,9.75,92,0,0
f,12,1,20.1,11.25,92,24,0
f,8,1,24,10.95,92,6,0
f,12,1,25.95,10.95,92,0,0
f,12,1,24.6,10.05,92,44,0
